Country,Name,Position,Rating
Morocco,S. Rahimi,FWD,76
Morocco,M. Munir,GK,75
Senegal,S. Mané,FWD,84
Senegal,K. Koulibaly,DEF,83
Senegal,E. Mendy,GK,81
Senegal,N. Jackson,FWD,79
Senegal,P. Sarr,MID,79
Senegal,I. Sarr,FWD,78
Senegal,I. Gueye,MID,78
Senegal,M. Niakhaté,DEF,78
Senegal,B. Dia,FWD,77
Senegal,K. Diatta,MID,76
Senegal,H. Diallo,FWD,76
Senegal,L. Camara,MID,75
Senegal,F. Mendy,DEF,75
Senegal,N. Mendy,MID,74
Senegal,A. Seck,DEF,73
South Korea,H. Son,FWD,87
South Korea,M. Kim,DEF,84
South Korea,K. Lee,MID,81
South Korea,H. Hwang,FWD,80
South Korea,I. Hwang,MID,75
South Korea,G. Cho,FWD,74
South Korea,J. Lee,MID,74
South Korea,H. Jo,GK,73
South Korea,W. Jeong,MID,72
South Korea,S. Jung,DEF,71
South Korea,Y. Kim,DEF,71
South Korea,Y. Seol,DEF,70
South Korea,S. Moon,FWD,70
South Korea,Y. Park,MID,69
South Korea,K. Lee,DEF,68
USA,C. Pulisic,FWD,81
USA,G. Reyna,MID,78
USA,W. McKennie,MID,78
USA,T. Adams,MID,78
USA,F. Balogun,FWD,78
USA,A. Robinson,DEF,78
USA,S. Dest,DEF,77
USA,M. Turner,GK,77
USA,Y. Musah,MID,76
USA,C. Richards,DEF,76
USA,T. Ream,DEF,75
USA,J. Sargent,FWD,75
USA,H. Wright,FWD,75
USA,M. Tillman,MID,75
USA,R. Pepi,FWD,74
Australia,M. Ryan,GK,76
Australia,J. Irvine,MID,75
Australia,M. Boyle,FWD,73
Australia,C. Goodwin,MID,73
Australia,C. Burgess,DEF,73
Australia,H. Souttar,DEF,73
Australia,R. McGree,MID,72
Australia,K. Rowles,DEF,72
Australia,A. Circati,DEF,71
Australia,J. Bos,DEF,71
Australia,M. Duke,FWD,71
Australia,A. Behich,DEF,70
Australia,C. Metcalfe,MID,70
Australia,K. Baccus,MID,69
Australia,N. Irankunda,FWD,68
Mexico,S. Giménez,FWD,80
Mexico,E. Álvarez,MID,81
Mexico,H. Lozano,FWD,79
Mexico,L. Malagón,GK,77
Mexico,C. Montes,DEF,76
Mexico,J. Vásquez,DEF,76
Mexico,L. Romo,MID,75
Mexico,C. Rodríguez,MID,75
Mexico,U. Antuna,FWD,75
Mexico,O. Pineda,MID,74
Mexico,J. Sánchez,DEF,73
Mexico,G. Arteaga,DEF,73
Mexico,H. Martín,FWD,73
Mexico,J. Quiñones,FWD,72
Mexico,A. Vega,FWD,72
