country,name,position,overall,photo
argentina,Kevin Mac Allister,DEF,89,argentina_kevin_mac_allister_215849.png
argentina,Emiliano Buendía,MID,84,argentina_emiliano_buenda_186660.png
argentina,Enzo Fernández,MID,89,argentina_enzo_fernndez_29709995.png
argentina,Giuliano Simeone,FWD,89,argentina_giuliano_simeone_37577657.png
argentina,Kevin Lomónaco,DEF,85,argentina_kevin_lomnaco_37342991.png
argentina,Emiliano Martínez,GK,77,argentina_emiliano_martnez_1343.png
argentina,Facundo Cambeses,GK,88,argentina_facundo_cambeses_456310.png
argentina,Facundo Medina,DEF,79,argentina_facundo_medina_335521.png
argentina,Enzo Barrenechea,MID,79,argentina_enzo_barrenechea_37347355.png
argentina,Alan Varela,MID,75,argentina_alan_varela_37537770.png
argentina,Benja Domínguez,FWD,85,argentina_benja_domnguez_37607194.png
argentina,Santiago Castro,FWD,80,argentina_santiago_castro_37567337.png
argentina,Aníbal Moreno,MID,84,argentina_anbal_moreno_29313859.png
argentina,Exequiel Palacios,MID,89,argentina_exequiel_palacios_335673.png
argentina,Lionel Messi ,FWD,82,argentina_lionel_messi_184798.png
argentina,Gerónimo Rulli,GK,87,argentina_gernimo_rulli_186418.png
argentina,Nico González,FWD,79,argentina_nico_gonzlez_215532.png
argentina,Cristian Romero ,DEF,78,argentina_cristian_romero_333731.png
argentina,Nicolás Otamendi,DEF,82,argentina_nicols_otamendi_1822.png
argentina,Nicolás Tagliafico,DEF,89,argentina_nicols_tagliafico_188444.png
argentina,Alexis Mac Allister,MID,82,argentina_alexis_mac_allister_216612.png
argentina,Thiago Almada,FWD,83,argentina_thiago_almada_19996814.png
argentina,Walter Benítez,GK,88,argentina_walter_bentez_97383.png
argentina,Nico Paz,MID,84,argentina_nico_paz_37596384.png
argentina,Giovani Lo Celso,MID,87,argentina_giovani_lo_celso_97664.png
argentina,Lautaro Martínez,FWD,85,argentina_lautaro_martnez_333594.png
argentina,Rodrigo De Paul,MID,78,argentina_rodrigo_de_paul_129798.png
argentina,Gonzalo Montiel,DEF,86,argentina_gonzalo_montiel_333781.png
argentina,Valentín Barco,MID,77,argentina_valentn_barco_37577727.png
brazil,Murillo,DEF,85,brazil_murillo_37627036.png
brazil,André,MID,77,brazil_andr_37526007.png
brazil,Casemiro,MID,84,brazil_casemiro_159700.png
brazil,Joelinton,MID,79,brazil_joelinton_33645.png
brazil,Paulo Henrique,DEF,80,brazil_paulo_henrique_439266.png
brazil,Lucas Beraldo,DEF,75,brazil_lucas_beraldo_37562940.png
brazil,Guilherme Arana,DEF,75,brazil_guilherme_arana_219398.png
brazil,Gabriel Martinelli,FWD,82,brazil_gabriel_martinelli_10959356.png
brazil,João Pedro,FWD,80,brazil_joo_pedro_28931574.png
brazil,Richarlison,FWD,75,brazil_richarlison_219633.png
brazil,Caio Henrique,DEF,75,brazil_caio_henrique_187557.png
brazil,John Victor ,GK,81,brazil_john_victor_219900.png
brazil,Luciano Juba,DEF,80,brazil_luciano_juba_37410288.png
brazil,Alex Sandro,DEF,78,brazil_alex_sandro_129725.png
brazil,Vitor Roque,FWD,85,brazil_vitor_roque_37599292.png
brazil,Éder Militão ,DEF,86,brazil_der_milito_460160.png
brazil,Gabriel Magalhães,DEF,87,brazil_gabriel_magalhes_97811.png
brazil,Fabrício Bruno,DEF,84,brazil_fabrcio_bruno_219502.png
brazil,Rodrygo,FWD,79,brazil_rodrygo_7346228.png
brazil,Luiz Henrique,FWD,85,brazil_luiz_henrique_37526008.png
brazil,Lucas Paquetá,MID,78,brazil_lucas_paquet_220052.png
brazil,Vitinho,DEF,88,brazil_vitinho_9302767.png
brazil,Jean Lucas,MID,80,brazil_jean_lucas_456593.png
brazil,Andreas Pereira,MID,86,brazil_andreas_pereira_1004.png
brazil,Estêvão,FWD,85,brazil_estvo_37701999.png
brazil,Léo Ortiz,DEF,89,brazil_lo_ortiz_458758.png
brazil,Carlos Augusto,DEF,84,brazil_carlos_augusto_13591496.png
brazil,Hugo Souza,GK,82,brazil_hugo_souza_11298640.png
brazil,Gerson,MID,81,brazil_gerson_129822.png
brazil,João Gomes,MID,79,brazil_joo_gomes_37402348.png
brazil,Vanderson,DEF,83,brazil_vanderson_37547795.png
brazil,Samuel Lino,FWD,83,brazil_samuel_lino_463850.png
brazil,Alisson,GK,79,brazil_alisson_129820.png
brazil,Weverton,GK,76,brazil_weverton_218295.png
brazil,Lucas Perri,GK,89,brazil_lucas_perri_460159.png
brazil,Alexsandro,DEF,88,brazil_alexsandro_29809271.png
brazil,Éderson,MID,81,brazil_derson_545244.png
brazil,Raphinha,FWD,81,brazil_raphinha_160258.png
brazil,Endrick,FWD,86,brazil_endrick_37647009.png
brazil,Igor Jesus,FWD,82,brazil_igor_jesus_29328429.png
brazil,Antony,FWD,76,brazil_antony_12393293.png
brazil,Kaio Jorge ,FWD,86,brazil_kaio_jorge_23301876.png
brazil,Savinho,FWD,88,brazil_savinho_37527169.png
brazil,Marquinhos,DEF,76,brazil_marquinhos_96208.png
brazil,Bruno Guimarães,MID,80,brazil_bruno_guimares_459145.png
brazil,Bento,GK,78,brazil_bento_32031865.png
brazil,Wesley,DEF,85,brazil_wesley_37608995.png
brazil,Matheus Cunha,FWD,78,brazil_matheus_cunha_1846739.png
brazil,Ederson,GK,86,brazil_ederson_159142.png
brazil,Douglas Santos,DEF,76,brazil_douglas_santos_32614.png
brazil,Fabinho,MID,88,brazil_fabinho_96099.png
brazil,Danilo,DEF,76,brazil_danilo_159208.png
brazil,Vinicius Junior,FWD,80,brazil_vinicius_junior_600687.png
brazil,Andrey Santos,MID,76,brazil_andrey_santos_37562129.png
france,Dayot Upamecano,DEF,81,france_dayot_upamecano_33685.png
france,William Saliba,DEF,77,france_william_saliba_17544737.png
france,Khéphren Thuram,MID,86,france_khphren_thuram_4545404.png
france,Jonathan Clauss,DEF,86,france_jonathan_clauss_102002.png
france,N'Golo Kanté,MID,85,france_ngolo_kant_1193.png
france,Adrien Rabiot,MID,83,france_adrien_rabiot_95694.png
france,Rayan Cherki,MID,81,france_rayan_cherki_21072805.png
france,Aurélien Tchouaméni,MID,75,france_aurlien_tchouamni_5270371.png
france,Eduardo Camavinga,MID,79,france_eduardo_camavinga_23688922.png
france,Mattéo Guendouzi,MID,84,france_matto_guendouzi_97087.png
france,Warren Zaïre-Emery,MID,75,france_warren_zareemery_37593237.png
france,Manu Koné,MID,85,france_manu_kon_23738800.png
france,Kingsley Coman,FWD,77,france_kingsley_coman_32659.png
france,Désiré Doué,FWD,77,france_dsir_dou_37590938.png
france,Maghnes Akliouche,FWD,86,france_maghnes_akliouche_37530901.png
france,Marcus Thuram,FWD,78,france_marcus_thuram_99000.png
france,Ousmane Dembélé,FWD,84,france_ousmane_dembl_32403.png
france,Hugo Ekitiké,FWD,82,france_hugo_ekitik_37288979.png
france,Malo Gusto,DEF,88,france_malo_gusto_37317367.png
france,Lucas Chevalier,GK,85,france_lucas_chevalier_17187774.png
france,Jules Koundé,DEF,75,france_jules_kound_337394.png
france,Bradley Barcola,FWD,79,france_bradley_barcola_37317369.png
france,Christopher Nkunku,FWD,85,france_christopher_nkunku_96884.png
france,Florian Thauvin,FWD,81,france_florian_thauvin_4237.png
france,Jean-Philippe Mateta,FWD,84,france_jeanphilippe_mateta_96950.png
france,Kylian Mbappé,FWD,89,france_kylian_mbapp_96611.png
france,Randal Kolo Muani,FWD,76,france_randal_kolo_muani_432872.png
france,Loïc Badé,DEF,80,france_loc_bad_10279739.png
france,Benjamin Pavard,DEF,87,france_benjamin_pavard_35574.png
france,Clément Lenglet ,DEF,86,france_clment_lenglet_96741.png
france,Mike Maignan,GK,84,france_mike_maignan_96227.png
france,Brice Samba,GK,80,france_brice_samba_96030.png
france,Lucas Digne,DEF,88,france_lucas_digne_95368.png
france,Theo Hernández,DEF,88,france_theo_hernndez_186995.png
france,Ibrahima Konaté,DEF,87,france_ibrahima_konat_100556.png
france,Michael Olise,FWD,87,france_michael_olise_24799984.png
france,Lucas Hernández,DEF,81,france_lucas_hernndez_186797.png
france,Pierre Kalulu,DEF,88,france_pierre_kalulu_14726357.png
germany,Assan Ouédraogo,MID,87,germany_assan_oudraogo_37645043.png
germany,Jamie Leweling,FWD,81,germany_jamie_leweling_12426453.png
germany,Malick Thiaw,DEF,89,germany_malick_thiaw_21762216.png
germany,Kevin Schade,FWD,78,germany_kevin_schade_27067062.png
germany,Aleksandar Pavlovic,MID,86,germany_aleksandar_pavlovic_37582044.png
germany,Felix Nmecha,MID,76,germany_felix_nmecha_6306127.png
germany,Leon Goretzka,MID,88,germany_leon_goretzka_31824.png
germany,Jonathan Burkardt,FWD,82,germany_jonathan_burkardt_3862683.png
germany,Nathaniel Brown,DEF,81,germany_nathaniel_brown_37538035.png
germany,Ridle Baku,DEF,81,germany_ridle_baku_2483333.png
germany,Karim Adeyemi,FWD,87,germany_karim_adeyemi_15040126.png
germany,Nnamdi Collins,DEF,76,germany_nnamdi_collins_37316456.png
germany,Robert Andrich,MID,87,germany_robert_andrich_34880.png
germany,Robin Koch,DEF,87,germany_robin_koch_35364.png
germany,Stefan Ortega,GK,76,germany_stefan_ortega_34594.png
germany,Marc-André ter Stegen,GK,85,germany_marcandr_ter_stegen_31284.png
germany,Maximilian Mittelstädt,DEF,75,germany_maximilian_mittelstdt_32384.png
germany,Robin Gosens,DEF,80,germany_robin_gosens_25242.png
germany,Tim Kleindienst,FWD,77,germany_tim_kleindienst_34987.png
germany,Paul Nebel,MID,79,germany_paul_nebel_27066712.png
germany,Jamal Musiala,MID,86,germany_jamal_musiala_33186829.png
germany,Said El Mala,FWD,81,germany_said_el_mala_37709599.png
germany,Yann Bisseck,DEF,89,germany_yann_bisseck_3861835.png
germany,Thilo Kehrer,DEF,80,germany_thilo_kehrer_32738.png
germany,Tom Bischof,MID,84,germany_tom_bischof_37582217.png
germany,Nadiem Amiri,MID,83,germany_nadiem_amiri_32585.png
germany,Maximilian Beier,FWD,78,germany_maximilian_beier_23277923.png
germany,Niclas Füllkrug,FWD,87,germany_niclas_fllkrug_31532.png
germany,Serge Gnabry,FWD,80,germany_serge_gnabry_942.png
germany,Joshua Kimmich,MID,82,germany_joshua_kimmich_32362.png
germany,Nick Woltemade,FWD,79,germany_nick_woltemade_32777430.png
germany,Waldemar Anton,DEF,86,germany_waldemar_anton_32728.png
germany,Alexander Nübel,GK,86,germany_alexander_nbel_32550.png
germany,David Raum,DEF,89,germany_david_raum_36119.png
germany,Oliver Baumann,GK,82,germany_oliver_baumann_31146.png
germany,Leroy Sané,FWD,82,germany_leroy_san_4783.png
germany,Deniz Undav,FWD,75,germany_deniz_undav_41077.png
germany,Jonathan Tah,DEF,86,germany_jonathan_tah_31836.png
germany,Nico Schlotterbeck,DEF,82,germany_nico_schlotterbeck_3862352.png
germany,Angelo Stiller,MID,87,germany_angelo_stiller_4536572.png
germany,Pascal Groß,MID,78,germany_pascal_gro_31504.png
germany,Florian Wirtz,MID,79,germany_florian_wirtz_37429246.png
germany,Antonio Rüdiger ,DEF,88,germany_antonio_rdiger_31837.png
germany,Finn Dahmen,GK,78,germany_finn_dahmen_2483331.png
spain,Aymeric Laporte,DEF,81,spain_aymeric_laporte_186299.png
spain,Jorge de Frutos,FWD,76,spain_jorge_de_frutos_447094.png
spain,Martín Zubimendi,MID,85,spain_martn_zubimendi_530762.png
spain,Pau Cubarsí,DEF,78,spain_pau_cubars_37656790.png
spain,Pablo Fornals,MID,84,spain_pablo_fornals_186815.png
spain,Isco,MID,81,spain_isco_185972.png
spain,Jesús Rodríguez,FWD,79,spain_jess_rodrguez_37722327.png
spain,Dean Huijsen,DEF,79,spain_dean_huijsen_37612542.png
spain,Fermín López,MID,84,spain_fermn_lpez_37596363.png
spain,Borja Iglesias,FWD,78,spain_borja_iglesias_186864.png
spain,Dani Olmo,MID,86,spain_dani_olmo_74060.png
spain,Ferran Torres,FWD,83,spain_ferran_torres_448389.png
spain,Nico Williams,FWD,83,spain_nico_williams_37297544.png
spain,Unai Simón,GK,85,spain_unai_simn_187215.png
spain,Aleix García,MID,86,spain_aleix_garca_4574.png
spain,Marcos Llorente,DEF,83,spain_marcos_llorente_186795.png
spain,Fabián Ruiz,MID,83,spain_fabin_ruiz_186735.png
spain,Álex Baena,FWD,89,spain_lex_baena_7698436.png
spain,Yéremy Pino,FWD,80,spain_yremy_pino_24468970.png
spain,Pablo Barrios,MID,83,spain_pablo_barrios_37423008.png
spain,Mikel Oyarzabal,FWD,81,spain_mikel_oyarzabal_186932.png
spain,Pedri,MID,83,spain_pedri_37288001.png
spain,Raúl Asencio,DEF,79,spain_ral_asencio_37596373.png
spain,Óscar Mingueza,DEF,77,spain_scar_mingueza_537595.png
spain,Daniel Carvajal ,DEF,82,spain_daniel_carvajal_31647.png
spain,Rodri,MID,76,spain_rodri_186910.png
spain,Gavi,MID,83,spain_gavi_37459030.png
spain,Álvaro Morata,FWD,89,spain_lvaro_morata_129660.png
spain,Ayoze Pérez,FWD,75,spain_ayoze_prez_1396.png
spain,Lamine Yamal,FWD,77,spain_lamine_yamal_37656179.png
spain,Dani Vivian,DEF,85,spain_dani_vivian_3510288.png
spain,Samu Aghehowa,FWD,80,spain_samu_aghehowa_37622274.png
spain,Robin Le Normand,DEF,75,spain_robin_le_normand_100580.png
spain,Mikel Merino,MID,87,spain_mikel_merino_32710.png
spain,Pedro Porro,DEF,86,spain_pedro_porro_8456257.png
spain,Alejandro Grimaldo,DEF,88,spain_alejandro_grimaldo_160208.png
spain,David Raya,GK,89,spain_david_raya_3130.png
spain,Álex Remiro,GK,81,spain_lex_remiro_187110.png
spain,Marc Cucurella,DEF,89,spain_marc_cucurella_448448.png
england,Dan Burn,DEF,75,england_dan_burn_2815.png
england,Myles Lewis-Skelly,DEF,84,england_myles_lewisskelly_37568815.png
england,James Trafford,GK,89,england_james_trafford_28575686.png
england,Tino Livramento,DEF,88,england_tino_livramento_24799911.png
england,Djed Spence,DEF,87,england_djed_spence_7026573.png
england,Trent Alexander-Arnold,DEF,87,england_trent_alexanderarnold_1917.png
england,Kyle Walker,DEF,86,england_kyle_walker_911.png
england,Jordan Henderson,MID,80,england_jordan_henderson_323.png
england,Cole Palmer,MID,82,england_cole_palmer_28912747.png
england,Curtis Jones,MID,83,england_curtis_jones_4545513.png
england,Conor Gallagher,MID,80,england_conor_gallagher_1494245.png
england,Ruben Loftus-Cheek ,MID,77,england_ruben_loftuscheek_1953.png
england,Eberechi Eze,MID,88,england_eberechi_eze_7643.png
england,Morgan Gibbs-White,MID,84,england_morgan_gibbswhite_7926.png
england,Anthony Gordon,FWD,76,england_anthony_gordon_9611543.png
england,Noni Madueke,FWD,79,england_noni_madueke_25217662.png
england,Ollie Watkins,FWD,79,england_ollie_watkins_12145.png
england,Ivan Toney,FWD,75,england_ivan_toney_4341.png
england,Reece James ,DEF,77,england_reece_james_581220.png
england,Adam Wharton,MID,81,england_adam_wharton_37350704.png
england,Alex Scott,MID,75,england_alex_scott_37550443.png
england,Phil Foden,MID,78,england_phil_foden_336133.png
england,Jude Bellingham,MID,79,england_jude_bellingham_37255840.png
england,Trevoh Chalobah ,DEF,77,england_trevoh_chalobah_537117.png
england,Nico O'Reilly,DEF,86,england_nico_oreilly_37562487.png
england,Ezri Konsa,DEF,77,england_ezri_konsa_7124.png
england,Morgan Rogers,MID,80,england_morgan_rogers_4592198.png
england,Jarrod Bowen,FWD,77,england_jarrod_bowen_1592.png
england,Harry Kane,FWD,87,england_harry_kane_997.png
england,John Stones,DEF,86,england_john_stones_982.png
england,Dominic Solanke,FWD,83,england_dominic_solanke_4203.png
england,Declan Rice,MID,79,england_declan_rice_5273.png
england,Elliot Anderson,MID,87,england_elliot_anderson_332047.png
england,Marcus Rashford,FWD,79,england_marcus_rashford_1878.png
england,Levi Colwill ,DEF,82,england_levi_colwill_37259180.png
england,Jordan Pickford,GK,87,england_jordan_pickford_1826.png
england,Marc Guéhi,DEF,85,england_marc_guhi_4536500.png
england,Jarell Quansah ,DEF,77,england_jarell_quansah_37259163.png
england,Bukayo Saka,FWD,88,england_bukayo_saka_16827155.png
england,Dean Henderson,GK,77,england_dean_henderson_12647.png
portugal,Bruno Fernandes,MID,80,portugal_bruno_fernandes_129602.png
portugal,Rui Silva,GK,88,portugal_rui_silva_159382.png
portugal,Gonçalo Inácio,DEF,80,portugal_gonalo_incio_37522785.png
portugal,Nuno Mendes ,DEF,75,portugal_nuno_mendes_37262099.png
portugal,Nuno Tavares,DEF,78,portugal_nuno_tavares_9308193.png
portugal,Diogo Dalot,DEF,80,portugal_diogo_dalot_164061.png
portugal,Rúben Neves,MID,77,portugal_rben_neves_159699.png
portugal,Rodrigo Mora,MID,83,portugal_rodrigo_mora_37656803.png
portugal,Diogo Jota,FWD,79,portugal_diogo_jota_159917.png
portugal,Pedro Gonçalves,FWD,83,portugal_pedro_gonalves_3169778.png
portugal,Pedro Neto ,FWD,81,portugal_pedro_neto_496775.png
portugal,Geovany Quenda,FWD,89,portugal_geovany_quenda_37656652.png
portugal,Nélson Semedo,DEF,83,portugal_nlson_semedo_160110.png
portugal,Cristiano Ronaldo,FWD,85,portugal_cristiano_ronaldo_580.png
portugal,Rafael Leão,FWD,83,portugal_rafael_leo_540251.png
portugal,Carlos Forbs,FWD,89,portugal_carlos_forbs_37410636.png
portugal,João Carvalho,GK,89,portugal_joo_carvalho_37617635.png
portugal,Matheus Nunes,DEF,80,portugal_matheus_nunes_21781428.png
portugal,João Palhinha,MID,80,portugal_joo_palhinha_160072.png
portugal,José Sá ,GK,80,portugal_jos_s_159483.png
portugal,João Cancelo,DEF,82,portugal_joo_cancelo_160956.png
portugal,Rúben Dias ,DEF,84,portugal_rben_dias_162536.png
portugal,Francisco Trincão,MID,76,portugal_francisco_trinco_163190.png
portugal,Francisco Conceição,FWD,77,portugal_francisco_conceio_37328006.png
portugal,João Félix,FWD,75,portugal_joo_flix_163152.png
portugal,João Neves,MID,83,portugal_joo_neves_37592729.png
portugal,Gonçalo Ramos,FWD,86,portugal_gonalo_ramos_23278610.png
portugal,Diogo Costa,GK,75,portugal_diogo_costa_163094.png
portugal,António Silva,DEF,88,portugal_antnio_silva_37354828.png
portugal,Renato Veiga,DEF,76,portugal_renato_veiga_37593154.png
portugal,Vitinha,MID,88,portugal_vitinha_4545430.png
portugal,Bernardo Silva,MID,78,portugal_bernardo_silva_96353.png
netherlands,Brian Brobbey,FWD,85,netherlands_brian_brobbey_7330507.png
netherlands,Matthijs de Ligt ,DEF,87,netherlands_matthijs_de_ligt_26768.png
netherlands,Noa Lang,FWD,81,netherlands_noa_lang_31439.png
netherlands,Lutsharel Geertruida,DEF,87,netherlands_lutsharel_geertruida_4598752.png
netherlands,Quinten Timber,MID,77,netherlands_quinten_timber_6306068.png
netherlands,Luciano Valente,MID,82,netherlands_luciano_valente_37570133.png
netherlands,Emmanuel Emegha ,FWD,87,netherlands_emmanuel_emegha_37400423.png
netherlands,Robin Roefs,GK,80,netherlands_robin_roefs_37397144.png
netherlands,Nathan Aké,DEF,76,netherlands_nathan_ak_1869.png
netherlands,Ryan Gravenberch,MID,88,netherlands_ryan_gravenberch_5270462.png
netherlands,Frenkie de Jong,MID,82,netherlands_frenkie_de_jong_26536.png
netherlands,Bart Verbruggen,GK,83,netherlands_bart_verbruggen_37257596.png
netherlands,Donyell Malen,FWD,87,netherlands_donyell_malen_537758.png
netherlands,Stefan de Vrij,DEF,76,netherlands_stefan_de_vrij_24015.png
netherlands,Ian Maatsen,DEF,77,netherlands_ian_maatsen_23311159.png
netherlands,Kenneth Taylor,MID,75,netherlands_kenneth_taylor_24092545.png
netherlands,Kjell Scherpen,GK,82,netherlands_kjell_scherpen_29470.png
netherlands,Mats Wieffer,DEF,76,netherlands_mats_wieffer_24082563.png
netherlands,Teun Koopmeiners,MID,88,netherlands_teun_koopmeiners_29184.png
netherlands,Jorrel Hato,DEF,76,netherlands_jorrel_hato_37600243.png
netherlands,Justin Kluivert ,MID,80,netherlands_justin_kluivert_26803.png
netherlands,Sem Steijn ,MID,89,netherlands_sem_steijn_21394902.png
netherlands,Nick Olij,GK,82,netherlands_nick_olij_25482.png
netherlands,Youri Baas,DEF,84,netherlands_youri_baas_37363315.png
netherlands,Quilindschy Hartman,DEF,82,netherlands_quilindschy_hartman_37344112.png
netherlands,Jeremie Frimpong,DEF,75,netherlands_jeremie_frimpong_8403182.png
netherlands,Denzel Dumfries,DEF,86,netherlands_denzel_dumfries_26027.png
netherlands,Jurriën Timber,DEF,86,netherlands_jurrin_timber_5270466.png
netherlands,Virgil van Dijk ,DEF,78,netherlands_virgil_van_dijk_1743.png
netherlands,Jerdy Schouten ,MID,80,netherlands_jerdy_schouten_26786.png
netherlands,Cody Gakpo,FWD,81,netherlands_cody_gakpo_30062.png
netherlands,Micky van de Ven,DEF,79,netherlands_micky_van_de_ven_37296248.png
netherlands,Xavi Simons ,MID,87,netherlands_xavi_simons_37317392.png
netherlands,Tijjani Reijnders,MID,75,netherlands_tijjani_reijnders_3156873.png
netherlands,Mark Flekken,GK,78,netherlands_mark_flekken_34737.png
netherlands,Memphis Depay ,FWD,80,netherlands_memphis_depay_929.png
netherlands,Jan Paul van Hecke,DEF,76,netherlands_jan_paul_van_hecke_24818803.png
netherlands,Wout Weghorst ,FWD,81,netherlands_wout_weghorst_25317.png
senegal,Mamadou Sarr,DEF,76,senegal_mamadou_sarr_37532344.png
senegal,Yehvann Diouf,GK,80,senegal_yehvann_diouf_99157.png
senegal,Baye Assane Ciss,DEF,84,senegal_baye_assane_ciss_37770110.png
senegal,Antoine Mendy,DEF,76,senegal_antoine_mendy_37569271.png
senegal,Assane Diao ,FWD,88,senegal_assane_diao_37674290.png
senegal,Nicolas Jackson,FWD,87,senegal_nicolas_jackson_37540621.png
senegal,Edouard Mendy,GK,86,senegal_edouard_mendy_99137.png
senegal,Ismail Jakobs,DEF,75,senegal_ismail_jakobs_3861304.png
senegal,Krépin Diatta,MID,80,senegal_krpin_diatta_430403.png
senegal,Ibrahim Mbaye,FWD,81,senegal_ibrahim_mbaye_37726575.png
senegal,Ismaïla Sarr,FWD,75,senegal_ismala_sarr_96722.png
senegal,Moussa Niakhaté,DEF,77,senegal_moussa_niakhat_98874.png
senegal,Pathé Ciss,MID,89,senegal_path_ciss_2511096.png
senegal,Cherif Ndiaye,FWD,75,senegal_cherif_ndiaye_64188.png
senegal,Habib Diallo,FWD,85,senegal_habib_diallo_96723.png
senegal,Sadio Mané,FWD,78,senegal_sadio_man_1389.png
senegal,Idrissa Gueye,FWD,84,senegal_idrissa_gueye_37712530.png
senegal,Rassoul Ndiaye,MID,77,senegal_rassoul_ndiaye_22168918.png
senegal,C. Gomis,FWD,75,senegal_c_gomis_38062968.png
senegal,Mbaye Ndiaye,DEF,75,senegal_mbaye_ndiaye_37342698.png
senegal,Joseph Samb,DEF,82,senegal_joseph_samb_37770114.png
senegal,Bonaventure Fonseca,MID,88,senegal_bonaventure_fonseca_37770116.png
senegal,Abdou Diallo,DEF,79,senegal_abdou_diallo_62860.png
senegal,Seyni Mbaye Ndiaye,DEF,88,senegal_seyni_mbaye_ndiaye_38201632.png
senegal,M. Yaya Ly,MID,81,senegal_m_yaya_ly_38051197.png
senegal,Pape Badji,MID,85,senegal_pape_badji_38051198.png
senegal,Moussa Cissé,MID,89,senegal_moussa_ciss_37637270.png
senegal,Moctar Koïta,MID,76,senegal_moctar_kota_37592394.png
senegal,A. Niang,MID,79,senegal_a_niang_38051207.png
senegal,Abdallah Sima,FWD,82,senegal_abdallah_sima_37539430.png
senegal,Cheikh Sabaly,FWD,77,senegal_cheikh_sabaly_12384553.png
senegal,Libasse Guèye,FWD,88,senegal_libasse_guye_37603284.png
senegal,Ababacar Sarr,FWD,75,senegal_ababacar_sarr_37770414.png
senegal,O. Ba,FWD,82,senegal_o_ba_38051205.png
