Country,RawName,FileName,Position(GK/DEF/MID/FWD),Rating(0-99)
australia_t_,glover,australia_t__glover_48236.png,,
brazil_ayrton,lucas,brazil_ayrton_lucas_1771.png,,
brazil,bento,brazil_bento_10111.png,,
brazil,beraldo,brazil_beraldo_307835.png,,
brazil,bremer,brazil_bremer_30497.png,,
brazil_carlos,augusto,brazil_carlos_augusto_10238.png,,
brazil,endrick,brazil_endrick_377122.png,,
brazil_fabr_cio,bruno,brazil_fabr_cio_bruno_10089.png,,
brazil,galeno,brazil_galeno_41197.png,,
brazil_guilherme,arana,brazil_guilherme_arana_2038.png,,
brazil_l_o,jardim,brazil_l_o_jardim_41169.png,,
brazil,murilo,brazil_murilo_10083.png,,
brazil,nino,brazil_nino_10306.png,,
brazil_pablo,maia,brazil_pablo_maia_313732.png,,
brazil_pep_,aquino,brazil_pep__aquino_10500.png,,
brazil,rafael,brazil_rafael_10081.png,,
brazil_raphael,veiga,brazil_raphael_veiga_9920.png,,
brazil,rodrygo,brazil_rodrygo_10009.png,,
brazil_vin_cius_j,nior,brazil_vin_cius_j_nior_762.png,,
brazil_,derson,brazil__derson_10097.png,,
brazil__der_milit,o,brazil__der_milit_o_372.png,,
england_a_,wharton,england_a__wharton_288102.png,,
england_b_,chilwell,england_b__chilwell_2933.png,,
england_b_,saka,england_b__saka_1460.png,,
england_c_,jones,england_c__jones_293.png,,
england_c_,palmer,england_c__palmer_152982.png,,
england_d_,henderson,england_d__henderson_19088.png,,
england_d_,rice,england_d__rice_2937.png,,
england_e_,eze,england_e__eze_19586.png,,
england_j_,bellingham,england_j__bellingham_129718.png,,
england_j_,branthwaite,england_j__branthwaite_17661.png,,
england_j_,gomez,england_j__gomez_284.png,,
england_j_,grealish,england_j__grealish_19187.png,,
england_j_,maddison,england_j__maddison_18784.png,,
england_j_,pickford,england_j__pickford_2932.png,,
england_j_,stones,england_j__stones_626.png,,
england_j_,trafford,england_j__trafford_162489.png,,
england_k_,phillips,england_k__phillips_19130.png,,
england_m__gu,hi,england_m__gu_hi_67971.png,,
england_p_,foden,england_p__foden_631.png,,
england_r_,lewis,england_r__lewis_284230.png,,
france_a_,griezmann,france_a__griezmann_56.png,,
france_a_,rabiot,france_a__rabiot_272.png,,
france_a__tchouam,ni,france_a__tchouam_ni_1271.png,,
france_b_,barcola,france_b__barcola_161904.png,,
france_b_,pavard,france_b__pavard_2725.png,,
france_b_,samba,france_b__samba_21628.png,,
france_d_,upamecano,france_d__upamecano_1149.png,,
france_e_,camavinga,france_e__camavinga_2207.png,,
france_f_,mendy,france_f__mendy_653.png,,
france_j_,clauss,france_j__clauss_25008.png,,
france_j_,kound_,france_j__kound__1257.png,,
france_kylian,mbapp_,france_kylian_mbapp__278.png,,
france_k_,thuram,france_k__thuram_116.png,,
france_l__hern,ndez,france_l__hern_ndez_33.png,,
france_m_,maignan,france_m__maignan_22221.png,,
france_m_,thuram,france_m__thuram_21509.png,,
france_o__demb,l_,france_o__demb_l__153.png,,
france_t__hern,ndez,france_t__hern_ndez_47300.png,,
france_w__za_re,emery,france_w__za_re_emery_336657.png,,
france_y_,fofana,france_y__fofana_22254.png,,
germany_a__n,bel,germany_a__n_bel_399.png,,
germany_b_,henrichs,germany_b__henrichs_98.png,,
germany_c__f,hrich,germany_c__f_hrich_24798.png,,
germany_d_,raum,germany_d__raum_25158.png,,
germany_g__pr,mel,germany_g__pr_mel_24854.png,,
germany_j_,beste,germany_j__beste_25313.png,,
germany_j_,blaswich,germany_j__blaswich_37246.png,,
germany_j_,brandt,germany_j__brandt_984.png,,
germany_j_,hofmann,germany_j__hofmann_25635.png,,
germany_j_,tah,germany_j__tah_972.png,,
germany_m_,beier,germany_m__beier_158644.png,,
germany_m_,ducksch,germany_m__ducksch_25464.png,,
germany_m__mittelst,dt,germany_m__mittelst_dt_25342.png,,
germany_m_,neuer,germany_m__neuer_497.png,,
germany_n_,schlotterbeck,germany_n__schlotterbeck_26243.png,,
germany_n__s,le,germany_n__s_le_506.png,,
germany_o_,baumann,germany_o__baumann_702.png,,
germany_r_,andrich,germany_r__andrich_24903.png,,
germany_r_,reitz,germany_r__reitz_203007.png,,
germany_w_,anton,germany_w__anton_25368.png,,
kazakhstan_aybol,abiken,kazakhstan_aybol_abiken_105843.png,,
kazakhstan_a_,aymbetov,kazakhstan_a__aymbetov_70346.png,,
kazakhstan_a_,baltabekov,kazakhstan_a__baltabekov_111660.png,,
kazakhstan_a_,beisebekov,kazakhstan_a__beisebekov_2226.png,,
kazakhstan_a_,kassym,kazakhstan_a__kassym_111789.png,,
kazakhstan_a_,kenesov,kazakhstan_a__kenesov_111550.png,,
kazakhstan_a_,marochkin,kazakhstan_a__marochkin_70343.png,,
kazakhstan_a_,sadybekov,kazakhstan_a__sadybekov_319495.png,,
kazakhstan_a_,shushenachev,kazakhstan_a__shushenachev_111724.png,,
kazakhstan_a_,tagybergen,kazakhstan_a__tagybergen_70345.png,,
kazakhstan_a_,tanzharikov,kazakhstan_a__tanzharikov_111580.png,,
kazakhstan_a_,zarutskiy,kazakhstan_a__zarutskiy_111587.png,,
kazakhstan_a_,zhaksylykov,kazakhstan_a__zhaksylykov_111458.png,,
kazakhstan_a_,zuev,kazakhstan_a__zuev_53534.png,,
kazakhstan_b_,islamkhan,kazakhstan_b__islamkhan_56082.png,,
kazakhstan_b_,kairov,kazakhstan_b__kairov_111595.png,,
kazakhstan_b_,shaizada,kazakhstan_b__shaizada_111520.png,,
kazakhstan_b_,zaynutdinov,kazakhstan_b__zaynutdinov_53533.png,,
kazakhstan_d_,ustimenko,kazakhstan_d__ustimenko_111556.png,,
kazakhstan_e_,astanov,kazakhstan_e__astanov_111485.png,,
kazakhstan_e_,tapalov,kazakhstan_e__tapalov_111532.png,,
kazakhstan_i_,chesnokov,kazakhstan_i__chesnokov_311508.png,,
kazakhstan_i_,kuat,kazakhstan_i__kuat_56083.png,,
kazakhstan_i_,shatskiy,kazakhstan_i__shatskiy_56075.png,,
kazakhstan_i_,sviridov,kazakhstan_i__sviridov_292349.png,,
kazakhstan_l_,skvortsov,kazakhstan_l__skvortsov_2238.png,,
kazakhstan_m_,bystrov,kazakhstan_m__bystrov_97575.png,,
kazakhstan_m_,gabyshev,kazakhstan_m__gabyshev_111650.png,,
kazakhstan_m_,samorodov,kazakhstan_m__samorodov_191889.png,,
kazakhstan_n_,alip,kazakhstan_n__alip_56080.png,,
kazakhstan_o_,omirtayev,kazakhstan_o__omirtayev_56086.png,,
kazakhstan_ruslan,valiullin,kazakhstan_ruslan_valiullin_106859.png,,
kazakhstan_r_,asrankulov,kazakhstan_r__asrankulov_111607.png,,
kazakhstan_r_,karimov,kazakhstan_r__karimov_2244.png,,
kazakhstan_r_,orazov,kazakhstan_r__orazov_111495.png,,
kazakhstan_s_,astanov,kazakhstan_s__astanov_111475.png,,
kazakhstan_s_,maliy,kazakhstan_s__maliy_56078.png,,
kazakhstan_s_,pokatilov,kazakhstan_s__pokatilov_56074.png,,
kazakhstan_t_,erlanov,kazakhstan_t__erlanov_56077.png,,
kazakhstan_y_,vorogovskiy,kazakhstan_y__vorogovskiy_56084.png,,
mexico_a__gonz,lez,mexico_a__gonz_lez_35546.png,,
mexico_c_,acevedo,mexico_c__acevedo_35769.png,,
mexico_e__,lvarez,mexico_e___lvarez_51068.png,,
mexico_f_,tapia,mexico_f__tapia_199401.png,,
mexico_j_,carrillo,mexico_j__carrillo_195704.png,,
mexico_j_,castillo,mexico_j__castillo_277189.png,,
mexico_j__gonz,lez,mexico_j__gonz_lez_35993.png,,
mexico_j_,lozano,mexico_j__lozano_127228.png,,
mexico_j__rodr,guez,mexico_j__rodr_guez_297145.png,,
mexico_l__mart_nez,dupuy,mexico_l__mart_nez_dupuy_289449.png,,
mexico_l_,olivas,mexico_l__olivas_119193.png,,
mexico_l_,romo,mexico_l__romo_35970.png,,
mexico_o_,govea,mexico_o__govea_8454.png,,
mexico_o_,pineda,mexico_o__pineda_35576.png,,
mexico_r_,alvarado,mexico_r__alvarado_2879.png,,
mexico_r_,huescas,mexico_r__huescas_310199.png,,
mexico_r_,meraz,mexico_r__meraz_35943.png,,
mexico_s__mu_,z,mexico_s__mu__z_212841.png,,
morocco_a_,abqar,morocco_a__abqar_46813.png,,
morocco_a_,assal,morocco_a__assal_294701.png,,
morocco_a_,dari,morocco_a__dari_36540.png,,
morocco_a_,ezzalzouli,morocco_a__ezzalzouli_181421.png,,
morocco_a_,khairi,morocco_a__khairi_36561.png,,
morocco_a_,ounahi,morocco_a__ounahi_129678.png,,
morocco_i_,riahi,morocco_i__riahi_215998.png,,
morocco_i_,saibari,morocco_i__saibari_161897.png,,
morocco_k__a_t,ouarkhane,morocco_k__a_t_ouarkhane_190570.png,,
morocco_m_,benabid,morocco_m__benabid_144879.png,,
morocco_m_,chibi,morocco_m__chibi_194572.png,,
morocco_m_,mohamedi,morocco_m__mohamedi_2702.png,,
morocco_m_,moufid,morocco_m__moufid_269451.png,,
morocco_s_,amallah,morocco_s__amallah_8587.png,,
morocco_s_,rahimi,morocco_s__rahimi_36579.png,,
morocco_t_,tissoudali,morocco_t__tissoudali_8918.png,,
morocco_y_,abdelhamid,morocco_y__abdelhamid_2704.png,,
morocco_y_,belammari,morocco_y__belammari_146772.png,,
netherlands_c_,stengs,netherlands_c__stengs_36910.png,,
netherlands_d_,dumfries,netherlands_d__dumfries_226.png,,
netherlands_f__de,jong,netherlands_f__de_jong_538.png,,
netherlands_j_,bijlow,netherlands_j__bijlow_37137.png,,
netherlands_j_,frimpong,netherlands_j__frimpong_152654.png,,
netherlands_j_,hato,netherlands_j__hato_341642.png,,
netherlands_j_,schouten,netherlands_j__schouten_37890.png,,
netherlands_j_,teze,netherlands_j__teze_231.png,,
netherlands_j_,veerman,netherlands_j__veerman_37749.png,,
netherlands_m__van_de,ven,netherlands_m__van_de_ven_152849.png,,
netherlands_n_,ak_,netherlands_n__ak__18861.png,,
netherlands_n_,olij,netherlands_n__olij_37818.png,,
netherlands_q_,timber,netherlands_q__timber_38747.png,,
netherlands_r_,gravenberch,netherlands_r__gravenberch_542.png,,
netherlands_s__de,vrij,netherlands_s__de_vrij_194.png,,
netherlands_t_,dallinga,netherlands_t__dallinga_93016.png,,
netherlands_t_,koopmeiners,netherlands_t__koopmeiners_36899.png,,
netherlands_t_,reijnders,netherlands_t__reijnders_36902.png,,
netherlands_v__van,dijk,netherlands_v__van_dijk_290.png,,
netherlands_x_,simons,netherlands_x__simons_162016.png,,
portugal_bernardo,silva,portugal_bernardo_silva_636.png,,
portugal_danilo,pereira,portugal_danilo_pereira_381.png,,
portugal_dany,mota,portugal_dany_mota_30603.png,,
portugal_diogo,costa,portugal_diogo_costa_369.png,,
portugal_diogo,leite,portugal_diogo_leite_376.png,,
portugal_francisco_concei_,o,portugal_francisco_concei__o_161585.png,,
portugal_gon_alo_in,cio,portugal_gon_alo_in_cio_265595.png,,
portugal_gon_alo,ramos,portugal_gon_alo_ramos_41585.png,,
portugal_jo_o_m,rio,portugal_jo_o_m_rio_41734.png,,
portugal_jo_o,palhinha,portugal_jo_o_palhinha_41104.png,,
portugal_matheus,nunes,portugal_matheus_nunes_41621.png,,
portugal_nuno,mendes,portugal_nuno_mendes_263482.png,,
portugal_ot,vio,portugal_ot_vio_380.png,,
portugal_rafael_le,o,portugal_rafael_le_o_22236.png,,
portugal_rapha_l,guerreiro,portugal_rapha_l_guerreiro_8.png,,
portugal_ricardo,horta,portugal_ricardo_horta_41103.png,,
portugal_r_ben,dias,portugal_r_ben_dias_567.png,,
portugal_samuel,soares,portugal_samuel_soares_162595.png,,
senegal_a_,diouf,senegal_a__diouf_417861.png,,
senegal_a_,sangante,senegal_a__sangante_174927.png,,
senegal_a_,seck,senegal_a__seck_8450.png,,
senegal_b_,ciss,senegal_b__ciss_483450.png,,
senegal_b_,dia,senegal_b__dia_22015.png,,
senegal_b_,dieng,senegal_b__dieng_284072.png,,
senegal_d_,lopy,senegal_d__lopy_203468.png,,
senegal_h_,diallo,senegal_h__diallo_20535.png,,
senegal_k_,diatta,senegal_k__diatta_81.png,,
senegal_l_,camara,senegal_l__camara_374058.png,,
senegal_m_,camara,senegal_m__camara_344813.png,,
senegal_m_,diaw,senegal_m__diaw_119853.png,,
senegal_m_,faye,senegal_m__faye_237249.png,,
senegal_o_,seck,senegal_o__seck_520936.png,,
senegal_p_,ciss,senegal_p__ciss_41552.png,,
senegal_p_,gueye,senegal_p__gueye_20696.png,,
senegal_r_,ndiaye,senegal_r__ndiaye_128342.png,,
senegal_s_,ndiaye,senegal_s__ndiaye_525030.png,,
senegal_s_,sano,senegal_s__sano_408219.png,,
senegal_y_,sabaly,senegal_y__sabaly_1264.png,,
south_korea_cho_gue,sung,south_korea_cho_gue_sung_34211.png,,
south_korea_hwang_in,beom,south_korea_hwang_in_beom_2901.png,,
south_korea_jeong_woo,yeong,south_korea_jeong_woo_yeong_512.png,,
south_korea_jo_hyeon,woo,south_korea_jo_hyeon_woo_2890.png,,
south_korea_jung_seung,hyun,south_korea_jung_seung_hyun_2895.png,,
south_korea_kim_ju,sung,south_korea_kim_ju_sung_34496.png,,
south_korea_kim_seung,gyu,south_korea_kim_seung_gyu_2892.png,,
south_korea_kim_tae,hwan,south_korea_kim_tae_hwan_34417.png,,
south_korea_kim_young,gwon,south_korea_kim_young_gwon_2898.png,,
south_korea_lee_jae,sung,south_korea_lee_jae_sung_2906.png,,
south_korea_lee_kang,in,south_korea_lee_kang_in_927.png,,
south_korea_lee_ki,je,south_korea_lee_ki_je_99540.png,,
south_korea_moon_seon,min,south_korea_moon_seon_min_34392.png,,
south_korea_oh_hyeon,gyu,south_korea_oh_hyeon_gyu_34710.png,,
south_korea_park_jin,seop,south_korea_park_jin_seop_99211.png,,
south_korea_park_yong,woo,south_korea_park_yong_woo_34435.png,,
south_korea_seol_young,woo,south_korea_seol_young_woo_197985.png,,
south_korea_song_bum,keun,south_korea_song_bum_keun_34374.png,,
spain_dani,vivian,spain_dani_vivian_47278.png,,
spain_david_garc,a,spain_david_garc_a_46653.png,,
spain_ferm,n,spain_ferm_n_340626.png,,
spain,gavi,spain_gavi_296667.png,,
spain_gerard,moreno,spain_gerard_moreno_1707.png,,
spain_jos_,gay_,spain_jos__gay__918.png,,
spain_lamine,yamal,spain_lamine_yamal_386828.png,,
spain_marcos,llorente,spain_marcos_llorente_753.png,,
spain_mikel,oyarzabal,spain_mikel_oyarzabal_47323.png,,
spain,nacho,spain_nacho_735.png,,
spain_nico,williams,spain_nico_williams_183799.png,,
spain_oihan,sancet,spain_oihan_sancet_128398.png,,
spain_pau_cubars_,paredes,spain_pau_cubars__paredes_396623.png,,
spain,pedri,spain_pedri_133609.png,,
spain_robin_le,normand,spain_robin_le_normand_47301.png,,
spain_rodrigo,riquelme,spain_rodrigo_riquelme_136117.png,,
spain_unai_sim,n,spain_unai_sim_n_47270.png,,
spain__lex,baena,spain__lex_baena_182219.png,,
spain__lex,remiro,spain__lex_remiro_47269.png,,
spain___igo_mart,nez,spain___igo_mart_nez_2670.png,,
usa_a_,jackson,usa_a__jackson_312998.png,,
usa_a_,zendejas,usa_a__zendejas_35885.png,,
usa_b__guti,rrez,usa_b__guti_rrez_212233.png,,
usa_c_,cowell,usa_c__cowell_51186.png,,
usa_d_,callender,usa_d__callender_201715.png,,
usa_d_,jones,usa_d__jones_51013.png,,
usa_d_,mihailovi_,usa_d__mihailovi__50913.png,,
usa_e_,bajraktarevic,usa_e__bajraktarevic_329409.png,,
usa_j_,neal,usa_j__neal_208667.png,,
usa_m_,freese,usa_m__freese_50728.png,,
usa_m_,mckenzie,usa_m__mckenzie_50735.png,,
usa_m_,miljevic,usa_m__miljevic_6719.png,,
usa_m_,robinson,usa_m__robinson_50879.png,,
usa_p_,schulte,usa_p__schulte_102685.png,,
usa_r_,ledezma,usa_r__ledezma_102851.png,,
usa_s_,johnson,usa_s__johnson_50848.png,,
usa_s_,zawadzki,usa_s__zawadzki_357230.png,,
usa_w_,zimmerman,usa_w__zimmerman_51032.png,,

